"Прайс-лист: DEALER_PRICE от 10.04.2023","","","","","","","","",""
"","","","","","","","","",""
"ID товара","Артикул","Описание","Код производителя","Срок гарантии","Кол-во в коробке","D3","Спец.цена","Наличие","Спец.тенге"
"279150","Кабель US155 80315 Wht 1.5m Ugreen","Кабель Ugreen US155 Lightning To USB 2.0 A Male Cable/White 1.5M, 80315","80315","24","","9.1","9.1","более 200","4095"
"279156","Кабель US171 10493 White 1m Ugreen","Кабель Ugreen US171 Lightning To Type-C 2.0 Male Cable White 1M, 10493","10493","24","","9.3","9.3","более 200","4185"
"279157","Кабель US171 60748 Wht 1.5m Ugreen","Кабель Ugreen US171 Lightning To Type-C 2.0 Male Cable White 1.5M, 60748","60748","24","","9.8","9.8","более 100","4410"
"279159","Кабель US171 60749 White 2m Ugreen","Кабель Ugreen US171 Lightning To Type-C 2.0 Male Cable White 2M, 60749","60749","24","","10.6","10.6","более 50","4770"
"279160","Кабель US171 60751 Black 1m Ugreen","Кабель Ugreen US171 Lightning To Type-C 2.0 Male Cable Black 1M, 60751","60751","24","","9.3","9.3","более 200","4185"
"279161","Кабель US171 60752 Black 2m Ugreen","Кабель Ugreen US171 Lightning To Type-C 2.0 Male Cable Black 2M, 60752","60752","24","","10.6","10.6","более 50","4770"
"279154","Кабель US299 60521 Black 1m Ugreen","Кабель Ugreen US299 Angled Lightning To USB 2.0 A Male Cable(90°  Angle)/Black 1M, 60521","60521","24","","7","7","более 100","3150"
"279155","Кабель US299 60555 Red 1m Ugreen","Кабель Ugreen US299 Angled Lightning To USB 2.0 A Male Cable(90°  Angle)/Red 1M, 60555","60555","24","","7","7","более 100","3150"
"279162","Кабель US304 60759 1m Ugreen","Кабель Ugreen US304 Lightning To Type-C 2.0 Male Cable 1M, 60759","60759","24","","10.4","10.4","более 200","4680"
"279163","Кабель US304 60760 1.5m Ugreen","Кабель Ugreen US304 Lightning To Type-C 2.0 Male Cable 1.5M, 60760","60760","24","","11.4","11.4","более 100","5130"
"279164","Кабель US304 70523 1m Ugreen","Кабель Ugreen US304 Lightning To Type-C 2.0 Male Cable 1M, 70523","70523","24","","10.4","10.4","более 100","4680"
"279246","Кабель HD132 50215 15m Ugreen","Кабель Ugreen HD132 HDMI 2.0  Male To Male Fiber Optic Cable 15M. 50215","50215","24","","69.9","69.9","менее 10","31455"
"279249","Кабель HD132 50218 40m Ugreen","Кабель Ugreen HD132 HDMI 2.0  Male To Male Fiber Optic Cable 40M, 50218","50218","24","","118.1","118.1","менее 10","53145"
"279245","Кабель HD132 50717 10m Ugreen","Кабель Ugreen HD132 HDMI 2.0  Male To Male Fiber Optic Cable 10М. 50717","50717","24","","65.8","65.8","менее 10","29610"
"279250","Кабель DP101 10238 DP Male-HDMI 1m","Кабель Ugreen DP101 DP Male To HDMI Male Cable 1M, 10238","10238","24","","9.08","9.08","более 10","4086"
"279251","Кабель DP101 10239 DPMale-HDMI 1.5m","Кабель Ugreen DP101 DP Male To HDMI Male Cable 1.5M, 10239","10239","24","","8.74","8.74","более 200","3933"
"279239","Кабель MM139 40420 USB-C To DP","Кабель-конвертер Ugreen MM139 USB-C To DP Cable, 40420","40420","24","","16.44","16.44","более 100","7398"
"279240","Кабель MM139 50994 USB-C To DP","Кабель-конвертер Ugreen MM139 USB-C To DP Cable, 50994","50994","24","","16.44","16.44","более 100","7398"
"279238","Кабель MM142 50570 Type-C To HDMI","Кабель-конвертер Ugreen MM142 Type-C To HDMI Cable. 50570","50570","24","","16.03","16.03","более 200","7214"
"277041","Кабель USB 2.0 A/Type C US176 0.5m","Кабель UGREEN US176 Angled USB 2.0 A to Type C Cable Nickel Plating Aluminum Shell 0.5m (Black)","20855","24","","2.5","2.5","более 100","1125"
"277042","Кабель USB 2.0 A/Type C US176 1m","Кабель UGREEN Angled USB 2.0 A to Type C Cable Nickel Plating Aluminum Shell 1m (Black)","20856","24","","3.3","3.3","более 100","1485"
"277043","Кабель USB 2.0 A/Type C US176 2m","Кабель UGREEN US176 Angled USB2.0 A to TYPE-C M/M Cable Nickel Plating Aluminum Shell with Braided 2m (Black)","20857","24","","4.2","4.2","более 100","1890"
"277052","Кабель USB 2.0 C M/M US261 1m Grey","Кабель UGREEN US261 USB 2.0 C M/M Round Cable Nickel Plating Aluminum Shell 1m (Gray Black)","50150","24","","3.3","3.3","более 200","1485"
"277051","Кабель USB 2.0 C M/M US264 1.5m W","Кабель UGREEN US264 USB 2.0 C M/M ABS Cover 1.5m (White)","60519","24","","2.9","2.9","более 50","1305"
"277050","Кабель USB 2.0 C M/M US264 1m W","Кабель UGREEN US264 USB 2.0 C M/M ABS Cover 1m (White)","60518","24","","2.5","2.5","более 100","1125"
"277045","Кабель USB 2.0 Type C/Type C 0.5m","Кабель UGREEN US286 USB 2.0 Type C to Type C Cable Nickel Plating 0.5m (Black)","50996","24","","1.8","1.8","более 200","810"
"277048","Кабель USB 2.0 Type C/Type C 1.5m","Кабель UGREEN US286 USB 2.0 Type C to Type C Cable Nickel Plating 1.5m (Black)","50998","24","","2.8","2.8","менее 30","1260"
"277047","Кабель USB 2.0 Type C/Type C 1m","Кабель UGREEN US286 USB 2.0 Type C to Type C Cable Nickel Plating 1m (Black)","50997","24","","2","2","более 200","900"
"277036","Кабель USB A/USB C US505 UGREEN","Кабель UGREEN US505 USB A To USB C Cable","20527","0","","5.4","5.4","более 100","2430"
"277037","Кабель USB AM/USB Type C US284 0.5m","Кабель UGREEN US284 Angled USB AM to USB Type C Cable Angled 0.5m","50940","24","","2.8","2.8","более 100","1260"
"277038","Кабель USB AM/USB Type C US284 1m","Кабель UGREEN US284 Angled USB AM to USB Type C Cable Angled 1m","50941","24","","3.6","3.6","более 200","1620"
"277065","Кабель USB3.1 Type C M/M US161 1.5m","Кабель UGREEN US161 USB 3.1 Type C Male to Type C Male Cable Nickel Plating Aluminum Shell 1.5m (Gray)","50751","0","","9.1","9.1","более 50","4095"
"277031","Кабель USB-A 2.0/USB-C US288 0.5m W","Кабель UGREEN US288 USB-A 2.0 to USB-C Cable Nickel Plating Aluminum Braid 0.5m (White)","60130","24","","2.2","2.2","более 100","990"
"277029","Кабель USB-A 2.0/USB-C US288 1.5m B","Кабель UGREEN US288 USB-A 2.0 to USB-C Cable Nickel Plating Aluminum Braid 1.5m (Black)","60127","0","","2.9","2.9","более 200","1305"
"277033","Кабель USB-A 2.0/USB-C US288 1.5m W","Кабель UGREEN US288 USB-A 2.0 to USB-C Cable Nickel Plating Aluminum Braid 1.5m (White)","60132","24","","3.4","3.4","более 200","1530"
"277028","Кабель USB-A 2.0/USB-C US288 1m Blk","Кабель UGREEN US288 USB-A 2.0 to USB-C Cable Nickel Plating Aluminum Braid 1m (Black)","60126","24","","2.3","2.3","более 200","1035"
"277032","Кабель USB-A 2.0/USB-C US288 1m W","Кабель UGREEN US288 USB-A 2.0 to USB-C Cable Nickel Plating Aluminum Braid 1m (White)","60131","24","","2.3","2.3","более 200","1035"
"277030","Кабель USB-A 2.0/USB-C US288 2m B","Кабель UGREEN US288 USB-A 2.0 to USB-C Cable Nickel Plating Aluminum Braid 2m (Black)","60128","24","","3.4","3.4","более 200","1530"
"277034","Кабель USB-A 2.0/USB-C US288 2m W","Кабель UGREEN US288 USB-A 2.0 to USB-C Cable Nickel Plating Aluminum Braid 2m (White)","60133","24","","3.4","3.4","более 200","1530"
"277044","Кабель USB-A/Micro USB+Type-C 1m","Кабель UGREEN US177 USB-A to Micro USB + USB Type-C Cable 1m (Black)","30875","24","","4.6","4.6","более 200","2070"
"277049","Кабель USB-C 2.0 M/M C US286 2m","Кабель UGREEN US286 USB-C 2.0 M/M Cable 2m (Black)","10306","24","","3.1","3.1","более 200","1395"
"277056","Кабель USB-C 2.0 US300 1m Black","Кабель UGREEN US300 USB-C 2.0 Charging Cable 100W 1m (Black)","80371","24","","5.8","5.8","менее 10","2610"
"277057","Кабель USB-C 2.0 US300 2m Black","Кабель UGREEN USB-C 2.0 Charging Cable 100W 2m (Black)","80372","24","","7.1","7.1","менее 10","3195"
"277064","Кабель USB-C M/M US335 2m","Кабель UGREEN Angled USB-C M/M Cable Aluminium Shell with Braided 2m (Black)","70698","24","","7.5","7.5","более 100","3375"
"277055","Кабель USB-C US323 1m Black","Кабель UGREEN US323 Angled USB-C Cable Aluminum Case with Braided 1m (Black)","70529","24","","3.7","3.7","более 200","1665"
"277054","Кабель USB-C/USB2.0-C US255 1m","Кабель UGREEN US255 USB-C to Angled USB2.0-C Round Cable M/M Aluminum Shell Nickel Plating 1m (Gray Black)","50123","24","","3.8","3.8","более 100","1710"
"277026","Кабель USB-C/USB3.0 US154 UGREEN","Кабель UGREEN US154 USB-C Male to USB 3.0 A Female Cable (Black)","30701","24","","2.28","2.28","более 100","1026"
"277058","КабельUSB-C 2.0/USB-C M/M US334 1m","Кабель UGREEN US334 USB-C 2.0 to Angled USB-C M/M Cable Aluminium Shell with Braided 1m (Black)","70643","24","","6","6","более 100","2700"
"279174","Кабель US289 60136 Black 1m Ugreen","Кабель Ugreen US289 Micro USB Male To USB 2.0 A  Male Cable 1M (Black), 60136","60136","24","","1.1","1.1","более 200","495"
"279175","Кабель US289 60137 Blk 1.5m Ugreen","Кабель Ugreen US289 Micro USB Male To USB 2.0 A  Male Cable 1.5M (Black), 60137","60137","24","","1.3","1.3","более 200","585"
"279177","Кабель US289 60141 White 1m Ugreen","Кабель Ugreen US289 Micro USB Male To USB 2.0 A  Male Cable 1M (White), 60141","60141","24","","1.1","1.1","более 200","495"
"279179","Кабель US289 60143 White 2m Ugreen","Кабель Ugreen US289 Micro USB Male To USB 2.0 A  Male Cable 2M (White), 60143","60143","24","","1.4","1.4","более 200","630"
"280677","Кабель US129 10368 1m Black","Кабель UGREEN USB 3.0 Extension Male Cable 1m (Black), 10368","10368","24","","3","3","более 200","1350"
"280679","Кабель US129 10373 2m Black","Кабель UGREEN US129 USB 3.0 Extension Male Cable 2m (Black), 10373","10373","24","","3.95","3.95","более 200","1778"
"280678","Кабель US129 30126 1.5m Black","Кабель UGREEN US129 USB 3.0 Extension Male Cable 1.5m (Black), 30126","30126","24","","3.7","3.7","более 200","1665"
"280680","Кабель US129 30127 3m Black","Кабель UGREEN US129 USB 3.0 Extension Male Cable 3m (Black), 30127","30127","24","","4.88","4.88","более 200","2196"
"280668","Кабель US290 60146 1m Metal/Black","Кабель UGREEN US290 Micro USB 2.0 Cable 1M Metal/Black, 60146","60146","24","","2.1","2.1","более 200","945"
"280671","Кабель US290 60147 1.5m Black","Кабель UGREEN US290 USB 2.0 A to Micro USB Cable Nickel Plating Aluminum Braid 1.5m (Black), 60147","60147","24","","2.4","2.4","более 200","1080"
"280672","Кабель US290 60148 2m Black","Кабель UGREEN US290 USB 2.0 A to Micro USB Cable Nickel Plating Aluminum Braid 2m (Black), 60148","60148","24","","2.6","2.6","более 200","1170"
"280674","Кабель US290 60151 1m White","Кабель UGREEN US290 USB 2.0 A to Micro USB Cable Nickel Plating Aluminum Braid 1m (White), 60151","60151","24","","2.1","2.1","более 200","945"
"280675","Кабель US290 60152 1.5m White","Кабель UGREEN US290 USB 2.0 A to Micro USB Cable Nickel Plating Aluminum Braid 1.5m (White), 60152","60152","24","","2.4","2.4","более 200","1080"
"280676","Кабель US290 60153 2m White","Кабель UGREEN US290 USB 2.0 A to Micro USB Cable Nickel Plating Aluminum Braid 2m (White), 60153","60153","24","","2.6","2.6","более 200","1170"
"280663","Кабель USB to DB9 20223 3m Ugreen","Кабель UGREEN USB to DB9 RS-232 Adapter Cable 3m. 20223","20223","24","","8.4","8.4","более 200","3780"
"280665","Кабель USB-C to DB CM253 70612 1.5m","Кабель UGREEN CM253 USB-C to DB 9pin RS232 Cable 1.5m. 70612","70612","24","","8.2","8.2","более 200","3690"
"280664","Кабель USB to HDMI 50291 1.5m Gray","Кабель UGREEN CM151 USB to HDMI Digital AV Adapter 1.5m (Gray). 50291","50291","24","","23","23","более 200","10350"
"286677","Кабель TYPE A-A US128 10370 1m","КАБЕЛЬ USB TYPE A-A ДЛИНА 1М, MALE-MALE 10370","10370","24","","2.21","2.21","более 30","995"
"279165","Кабель US304 70524 1.5m Ugreen","Кабель Ugreen US304 Lightning To Type-C 2.0 Male Cable 1.5M, 70524","70524","24","","11.4","11.4","более 200","5130"
"287400","Кабель US501 30389 0.8m Blck Ugreen","Кабель UGREEN US501 USB-C to USB-C Thunderbolt 4 Cable 0.8m (Black), 30389","30389","24","","37.77","37.77","более 200","16997"
"287370","Кабель US102 10310 1.5m Black","Кабель UGREEN US102 USB 2.0 A Male to A Male Cable 1.5m (Black) 10310","10310","24","","1.29","1.29","более 100","581"
"287378","Кабель US102 10311 2m Black","Кабель UGREEN US102 USB 2.0 A Male to A Male Cable 2m (Black) 10311","10311","24","","1.49","1.49","более 100","671"
"287379","Кабель US102 30136 3m Black","Кабель UGREEN US102 USB 2.0 A Male to A Male Cable 3m (Black) 30136","30136","24","","1.96","1.96","более 100","882"
"287380","Кабель US242 70873 3m Black","Кабель UGREEN US242 USB-C Male to Mini USB Male Nickle Plated ABS Case 2m (Black) 70873","70873","24","","3.9","3.9","более 100","1755"
"287369","Кабель US372 30205 1m Dark gray","Кабель UGREEN US372 USB-C Male to USB-C Female Gen2 Alu Case Braided Extension Cable 1m (Dark gray) 30205","30205","24","","9.19","9.19","более 100","4136"
"Переходники и адаптеры","","","","","","","","",""
"284364","Адаптер 20502 3.5mm to 2.5mm Ugreen","Аудиоадаптер UGREEN 20502 3.5mm Male to 2.5mm Female Adapter","20502","24","","1.5","1.5","более 10","675"
"284363","Адаптер AV169 80731 6.35mm Ugreen","Аудиоадаптер UGREEN AV169 6.35mm Male to RCA Female Adapter, 80731","80731","24","","1.7","1.7","более 50","765"
"277100","Bluetooth-адаптер US192 Wht UGREEN","Bluetooth-адаптер UGREEN US192 USB Bluetooth 4.0 Adpater (White)","30443","24","","4.8","4.8","более 50","2160"
"277130","HUB CR113 USB 3.0 1m White UGREEN","HUB UGREEN CR113 USB 3.0 Hub  1m (White)","20283","24","","10.2","10.2","более 200","4590"
"277074","Адаптер CM317 USB-C Multifunction","Адаптер UGREEN CM317 USB-C Multifunction Adapter for iPad Pro","70688","24","","24","24","более 50","10800"
"277123","Адаптер CM383 USB 2.0 UGREEN","Адаптер UGREEN CM383 USB 2.0 to 3.5mm Audio Adapter ","80864","24","","7.05","7.05","более 200","3173"
"277016","Адаптер MD115 UGREEN Silver","Адаптер UGREEN MD115 Mini DP to HDMI + VGA Converter (Silver)","20421","24","","11","11","более 50","4950"
"277018","Переходник MD112 UGREEN Black","Переходник UGREEN MD112 Mini DP to HDMI Converter 4K (Black)","40360","24","","6.4","6.4","более 100","2880"
"277020","Переходник MD112 UGREEN White","Переходник UGREEN MD112 Mini DP to HDMI Converter 1080p (White)","10460","24","","4.6","4.6","более 100","2070"
"279168","Power Bank 10000mAh 10398 Ugreen","Пауэрбанк Ugreen PB172 10000mAh Quick  Charging Power Bank Build-in Lightning Cable.. 10398","10398","24","","25","25","более 30","11250"
"279218","Power Bank 10000mAh 80749 Ugreen","Пауэрбанк Ugreen PB178 10000mAh Mini Quick Charging Power Bank USB C, 80749","80749","24","","20","20","менее 50","9000"
"277147","Переходник MM123 USB Type C to HDMI","Переходник UGREEN MM123 USB Type C to HDMI + VGA Converter (White)","30843","24","","18.9","18.9","более 50","8505"
"277014","Переходник-адаптер US157 UGREEN","Переходник-адаптер UGREEN US157 USB-C to Micro USB Adapter (White)","30154","24","","1.8","1.8","более 10","810"
"277082","Конвертер CM218 Dual USB-C 6-in-1","Конвертер UGREEN CM218 Dual USB-C 6-in-1 Multifunctional Converter, 50984","50984","24","","40","40","более 100","18000"
"277117","Конвертер Ethernet for TV Stick Blk","Конвертер сигнала UGREEN 30985 Ethernet Adapter for TV Stick (Black)","30985","24","","8.8","8.8","более 50","3960"
"230726","2PC54AA HP USB-C- HDMI2.0  Adapter","Адаптер HP 2PC54AA, USB-C- HDMI 2.0 для устройств HP Pavilion","2PC54AA","12","","24","24","более 30","10800"
"279166","Переходник US186 50203 1.5m Ugreen","Переходник Ugreen US186 USB 2.0 A To Micro USB+Lightning+Type C (3 in 1) Cable Sliver 1.5M, 50203","50203","24","","13.1","13.1","более 100","5895"
"279146","Переходник US211 30756 Ugreen","Переходник Ugreen US211, аудио Lightning To 3.5mm, Female Adapter, 30756","30756","24","","12.5","12.5","более 200","5625"
"277090","Разветвитель CM188 HDMI UGREEN","Разветвитель портов UGREEN CM188 HDMI Splitter 3 In 1 Out","50709_","24","","26.6","26.6","более 10","11970"
"275071","W5D55AA HP 90W Smart AC Adapter","Адаптер переменного тока HP Smart Power (90 Вт) W5D55AA","W5D55AA","12","","25.64","25.64","более 30","11538"
"277145","Разветвитель CM219 4Port USB-mUSB","Разветвитель портов UGREEN CM219 4-Port USB3.0 Hub with Micro USB Power Supply","70336","24","","11.4","11.4","более 200","5130"
"277097","Ресивер CM107 Bluetooth Blck UGREEN","Приемник ресивер звука UGREEN CM107 Bluetooth 5.0 Transmitter Audio Adapter with 3.5mm (Black)","40761","24","","24.4","24.4","более 30","10980"
"284344","Конвертер MM137 70694 25cm Ugreen","Конвертер UGREEN MM137 DP Male to HDMI Female 4K*2K 60HZ 25cm, 70694","70694","24","","10.62","10.62","более 50","4779"
"287712","Защит. трубка LP121 30820 UGREEN 5m","Защитная трубка UGREEN LP121 5 m 30820","30820","0","","5.07","5.07","более 50","2282"
"279195","Адаптер CM193 50596 Ugreen","Адаптер Ugreen CM193 Type C Male To 3.5mm Audio+ Type C Female Adapter, 50596","50596","24","","4","4","более 50","1800"
"279196","Адаптер CM231 60164 Ugreen","Адаптер Ugreen CM231 Type C Male To 3.5mm Audio+ Type C Female Adapter With Chip, 60164","60164","24","","12","12","более 50","5400"
"279258","Адаптер CR104 20222 Ugreen 2m","Адаптер Ugreen CR104 USB 2.0 A To DB9 RS-232 Male Adapter Cable 2M, 20222","20222","24","","7.23","7.23","более 200","3254"
"279231","Конвертер CM162 50505 USB-C To HDMI","Конвертер Ugreen CM162 USB-C To HDMI+VGA Converter With PD. 50505","50505","24","","28.1","28.1","более 100","12645"
"279257","Конвертер MD115 20422 Black Ugreen","Конвертер Ugreen MD115 Mini DP Male To VGA Female+HDMI Female Converter Black. 20422","20422","24","","13.32","13.32","более 30","5994"
"279236","Конвертер CM274 70301 USB-C To USB","Конвертер Ugreen CM274 USB-C To 2*USB 3.0 A+HDMI+VGA+DP+RJ45 Gigabit+SD/TF+PD Converter. 70301","70301","24","","80","80","более 50","36000"
"279171","Конвертер CM356 80548 Gray Ugreen","Конвертер Ugreen CM356 Dual USB-C To 2*USB 3.0 A+USB-C Female+ 2*HDMI+TF/SD Converter Gray, 80548","80548","24","","41.5","41.5","более 100","18675"
"282790","Z6A00AA HP USB-C to USB-A Hub","Адаптер портов HP Z6A00AA USB-C to 3 USB-A Hub","Z6A00AA","12","","18.2","18.2","более 50","8190"
"284324","2.5Inch Hard Drive Box 30847 Ugreen","Корпус для Жесткого Диска UGREEN 2.5 Inch Hard Drive Box with Built-in USB 3.0 Cable, 30847","30847","24","","7.12","7.12","более 30","3204"
"284322","2.5Inch Hard Drive Box 30848 Ugreen","Корпус для Жесткого Диска UGREEN 2.5 Inch Hard Drive Box with Micro-B to USB-A 3.0 Cable, 30848","30848","24","","7.61","7.61","более 30","3425"
"284318","HUB CM473 20805 USB 3.0 Ugreen","HUB UGREEN CM473 USB 3.0 to 4*USB 3.0, 20805","20805","24","","13.7","13.7","менее 10","6165"
"284328","Switch US216 30768 2 In 4 Ugreen","Switch UGREEN US216 2 In 4 Out USB 3.0 Sharing, 30768","30768","24","","18.8","18.8","более 100","8460"
"295570","72C71AA HP USB-C G5 Essential Dock","Док-станция HP 72C71AA USB-C G5","72C71AA","0","","133","133","более 50","59850"
"284331","Корпус USB Cable 50cm 10902 Ugreen","Корпус для Жесткого Диска UGREEN USB-C Female to M.2 M-Key 10G Enclosure C TO C Cable 50cm, 10902","10902","24","","23.4","23.4","более 200","10530"
"287394","Адаптер CM199 50737 UGREEN","Адаптер UGREEN CM199 USB Type C to 10/100/1000M Ethernet Adapter (Space Gray), 50737","50737","24","","13.5","13.5","более 100","6075"
"287388","Конвертер 20405 Male to DVI UGREEN","Конвертер UGREEN 20405 DP Male to DVI Female, 15cm ,Black","20405","24","","7.86","7.86","более 10","3537"
"287382","Конвертер CM261 80110 UGREEN","Конвертер UGREEN CM261 RS232 to RS485, 80110","80110","24","","7.13","7.13","более 30","3209"
"287387","Конвертер MM103 40248 UGREEN","Конвертер UGREEN MM103 HDMI to VGA, 25cm , 40248, Black","40248","24","","6.83","6.83","более 100","3074"
"287410","Ресивер CM276 70303 Ugreen","Ресивер UGREEN CM276 Bluetooth 5.0 Receiver Audio Adapter 70303","70303","24","","14.48","14.48","более 50","6516"
"287381","NW114 20311 RJ45 Ugreen (White)","Разъем сетевой UGREEN NW114 RJ 45 Network Keystone Jack In-Line Coupler Female to Female 1pcs (White) 20311","20311","24","","1.33","1.33","более 10","599"
"287414","Transmitter CM523 60300 3.5m Ugreen","UGREEN CM523 USB 2.0 to 3.5mm Bluetooth Transmitter/Receiver Adapter with Audio Cable 60300","60300","24","","7.31","7.31","более 10","3290"
"287715","Защит. труб LP121 30818 UGREEN 1.5m","Защитная трубка 1.5m UGREEN LP121 30818","30818","0","","2.19","2.19","более 50","986"
"287714","Защит. трубка LP121 30819 UGREEN 3m","Защитная трубка 3 m UGREEN LP121 30819","30819","0","","3.38","3.38","более 50","1521"
"228226","USB-адаптер USB-AC51 ASUS","Двухдиапазонный беспроводной USB-адаптер ASUS USB-AC51 стандарта 802.11ac / ","USB-AC51","12","","22","20","менее 10","9000"
"300537","USB-AX56 ASUS","USB-адаптер ASUS USB-AX56 AX1800,USB3.2 Gen1,2.4GHz & 5GHz","90IG06H0-MO0R00","36","","71","66","более 10","29700"
"280684","Переходник CR125 30333 4in1 Ugreen","Переходник Ugreen CR125 USB 3.0 All-in-One Card Reader 50cm 4in1, 30333","30333","24","","10.5","10.5","более 200","4725"
"266214","WFA-605 Wi-Fi adapter","Wi-Fi adapter WFA-605, 802.11ac 300Mbps, 2Db, PCI Ex","WFA-605","12","","13","13","более 200","5850"
"Сумки, чехлы, рюкзаки","","","","","","","","",""
"287713","Чехол для HDD LP128 40707 UGREEN","Чехол для жесткого диска UGREEN  LP128 чехол для HDD 2,5""  40707","40707","0","","5.49","5.49","более 10","2471"
"261297","Рюкзак 7MT83AA HP","Рюкзак с отворотом HP 7MT83AA, OMEN Transceptor 15""","7MT83AA","12","","61.31","61.31","менее 10","27590"
"272122","1X644AA HP 15,6 Prelude Pro Recycle","Рюкзак HP Prelude Pro Recycled Backpack 1X644AA","1X644AA","12","","25","25","менее 50","11250"
"263829","1X645AA HP Prelude Pro 15.6","Сумка HP 1X645AA Prelude Pro 15.6 Top Load","1X645AA","12","","19","19","более 50","8550"
"252031","5EE91AA Commuter Black Backpack HP","Городской рюкзак HP 5EE91AA, черный","5EE91AA","12","","18","18","более 10","8100"
"277143","Чехол LP186 Waterproof Phone Pouch","Водонепроницаемый чехол UGREEN LP186 Waterproof Phone Pouch (Black), 60959","60959","24","","1.6","1.6","более 200","720"
"279393","3E2U6AA HP Rnw Business 17.3 Laptop","Сумка HP 3E2U6AA Rnw Business 17.3 Laptop Bag","3E2U6AA","24","","19.6","19.6","более 50","8820"
"279391","3E5F8AA HP Rnw Business 15.6 Laptop","Сумка HP 3E5F8AA Rnw Business 15.6 Laptop Bag","3E5F8AA","24","","20","20","более 30","9000"
"279392","3E5F9AA HP Rnw Business 14.1 Laptop","Сумка HP 3E5F9AA Rnw Business 14.1 Laptop Bag","3E5F9AA","24","","21","21","более 100","9450"
"279765","34Y64AA Prelude 17.3"" TL HP","Сумка HP Prelude 17.3 TL  34Y64AA","34Y64AA","12","","16.91","16.91","более 50","7610"
"284339","LP437 30325 Bag 15''-15.9'' Gray","Сумка для ноутбука UGREEN LP437 Laptop Bag 15''-15.9'' (Gray), 30325","30325","24","","12.2","12.2","более 200","5490"
"288168","2F1W8AA HP 15 ReversP Grey/Mauve","Чехол 2F1W8AA HP 15 ReversP Grey/Mauve Sleeve","2F1W8AA","12","","12.82","12.82","более 50","5769"
"288169","2F1X7AA HP Prot Rev 15.6 BLK/BLU","Чехол 2F1X7AA HP Prot Rev 15.6 BLK/BLU Laptop Slv","2F1X7AA","12","","12.34","12.34","более 50","5553"
"288170","2F2L0AA HP 15 ReversP Blk/Geo","Чехол 2F2L0AA HP 15 ReversP Blk/Geo Sleeve","2F2L0AA","12","","13.21","13.21","более 50","5945"
"288171","2F2L4AA HP 14 ReversP Blk/Geo","Чехол 2F2L4AA HP 14 ReversP Blk/Geo Sleeve","2F2L4AA","12","","12.71","12.71","более 50","5720"
"288172","2F2L6AA HP Prot Rev 14 GRY/MVE","Чехол 2F2L6AA HP Prot Rev 14 GRY/MVE Laptop Slv","2F2L6AA","12","","12.03","12.03","более 50","5414"
"288156","2Z8A4AA HP Rnw Travel 15.6 Laptop","Сумка 2Z8A4AA HP Rnw Travel 15.6 Laptop Bag","2Z8A4AA","12","","27.76","27.76","более 50","12492"
"289704","3J047AA HP OMEN Transceptor Pouch","Чехол 3J047AA HP OMEN Transceptor Pouch","3J047AA","12","","16.5","16.5","более 50","7425"
"289712","500S8AA HP Prof 14.1 Laptop Bag","Сумка 500S8AA HP Prof 14.1 Laptop Bag","500S8AA","12","","20.74","20.74","более 50","9333"
"Кабели HDMI","","","","","","","","",""
"277069","Кабель HD101 1.5m Yellow/Blk Ugreen","Кабель UGREEN HD101 HDMI Round Cable 1.5m (Yellow/Black)","10128","24","","2.8","2.8","более 200","1260"
