"10.04.2023","16 ЛЕТ НА РЫНКЕ КАЗАХСТАНА!","","","","","","",""
"","","","","","","","",""
"Код","Артикул","Полное наименование","Доступность
(штук)","Цена
(тенге)","Срок
гарантии","В коробке
(штук)","Фото","Ссылка"
"23973      ","G99.TU150WA.00","Корпус Lian Li TU-150, Mini-Tower Chassis, ITX, 1x3,5"", 2x2,5"", 3 слота расширения, USB3.1 Type Cx1, USB3.0 x2, HD Audio, цвет - серебро, без блока питания. Алюминий. Боковая стенка - Заколенное стекло. ","12","52,268","1 год","1","69","Ссылка"
"31207      ","G99.DK05FX.02EU","Корпус-стол Lian Li DK-05FX (с возможностю установки одновременно 2-х материнских плат), RGB-Led подсветка, E-ATX/ATX/M-ATX, 8x3.5"", 2x2.5"" USB 3.1 (TYPE-C)/USB3.0x4, наушники, микрофон, поверхность из закаленного стекла, регулировка высоты с помощью сервоприводов  от 689 до 1175 мм, G99.DK05FX.02EU","1","935,275","1 год","1","DK-04F","Ссылка"
"NOMAD","","","","","","","",""
"28570      ","NMD-CASSIOPEIA","Корпус NOMAD Cassiopeia, ATX/mATX/Mini-ITX/Extended ATX, Внутренние слоты: 2x3.5"", 5x2.5"", 8 слотов расширения, USB3.0x1, USB2.0x2, HD Audio, VGA Card Length: Max.350 mm, CPU Cooler Height: Max.140 mm, Габариты: 430(D) x200(W) x400(H) mm, Передняя панель: затемненное закаленное стекло, Левая стенка: затемненное закаленное стекло, Правая стенка: металл., Верх Корпуса: Магнитный фильтр от пыли, Толщина металла: SPCC 0.6 mm Black Matt. Опционально: Возможность установки вентилятора Front: 3x140mm, Rear: 1x120mm, Top: 2x140mm, more 2x120mm, без БП.","14","28,457","1 год","1","CASSIOPEIA","NMD-CASSIOPEIA"
"22177      ","NMD-CG","Корпус NOMAD Cronos Glass ATX/mATX  USB 3.0*2 + 1.1*2, HD Audio, черный, толщина металла 0.7мм,шумоизоляция, верхней, передней и боковых панелей, левая панель из закаленного стекла, фильтр защита от пыли в нижней части корпуса, BlackFan *3 спереди,   Tornado LED Blue Fan*1 на задней стенке, без БП, черный","0","38,400","1 год","1","NMD-CG","NMD-CG"
"28569      ","NMD-MAPLE","Корпус NOMAD Maple, ATX/mATX/Mini-ITX/, Внутренние слоты: 2x3.5"", 2x2.5"", 7 слотов расширения, USB3.0x1, USB2.0x2, HD Audio, VGA Card Length: Max.340 mm, CPU Cooler Height: Max.160 mm, Габариты: 385(D) x190(W) x420(H) mm, Передняя панель: меттал, Левая стенка: затемненное закаленное стекло, Правая стенка: металл, Верх Корпуса: металл, Толщина металла: SPCC 0.5 mm Black Matt. Опционально: Возможность установки вентилятора Front: 3x120mm, Rear: 1x120mm, more 2x120mm, LED подсветка, без БП.","1","19,918","1 год","1","MAPLE","NMD-MAPLE"
"22977      ","NMD-SW","Корпус NOMAD Swan Форм-фактор  Middle-Tower, ATX/Micro-ATX, 1xUSB3.0, 1xUSB2.0, 1xНаушники, 1xМикрофон, 7 слотов расширения, Внешние слоты: 1х5,25"", Внутренние слоты: 2х3,5"" 3x2,5"", Размер 195х417x387мм., Черный Глянец, БЕЗ БП",">50","7,294","1 год","1","NMD-SW400","NMD-SW"
"28547      ","NMD-SW V2","Корпус NOMAD Swan V2, mITX, mATX, ATX, USB3.0x2, 3,5""x2 2,5""x3,  Черный, БП 400W",">50","15,707","1 год","1","NMD-SW400","NMD-SW V2"
"22349      ","NMD-SW400","Корпус NOMAD Swan, mITX, mATX, ATX, USB3.0x1, USB2.0x1, 3,5""x2 2,5""x3,  Черный, БП 400W",">50","15,036","1 год","1","Nomad swan","NMD-SW400"
"PCCooler","","","","","","","",""
"31476      ","MASTER IE200","Компьютерный корпус PCCooler MASTER IE200 EATX/ATX/mATX/ITX 2x3.5"", 4x2.5"", USB3.0, 2USB2.0 Black","7","27,611","2 года","1","MASTER IE200","Ссылка"
"Моддинг","","","","","","","",""
"30424      ","G89.PW24-24.00","Кабель питания Lian Li 24-pin с RGB-подсветкой Strimer 24pins CABLE ","19","17,676","1 год","10","G89.PW24-24.00","Ссылка"
"31208      ","G89.PW12-PV2.00","Кабель питания Lian LI 3x8-pin с ARGB-подсветкой 300mm Strimer 3x8 pins plus V2 power PW12-PV2 G89.PW12-PV2.00 Black","30","22,375","1 год","10","G89.PW12-PV2.00","Ссылка"
"30718      ","MFX-AWHN-3NNN1-R1","Кабель-разветвитель CoolerMaster 1 на 3 вентилятора 50 см ARGB. Совместимость с материнскими платами ASUS, MSI, GIGABYTE и ASROCK с адресуемой RGB-подсветкой. MFX-AWHN-3NNN1-R1",">50","3,804","1 год","","MFX-AWHN-3NNN1-R1","Ссылка"
"30719      ","R4-ACCY-RGBS-R2","Кабель-разветвитель CoolerMaster 1 на 3 вентилятора 58 см. Кабели-разветвители RGB 1-к-3 позволяют пользователям удлинять несколько вентиляторов и полос RGB-светодиодов для создания эстетически красивых систем освещения. RGB R4-ACCY-RGBS-R2",">50","3,356","1 год","","R4-ACCY-RGBS-R2","Ссылка"
"31209      ","G89.PW24PV2-1.00","Контроллер Lian LI Strimer L-Connect 3 G89.PW24PV2-1.00 Black. Контроллер, входящий в состав STRIMER PLUS V2 24-PIN, может быть подключен к 8-контактному или тройному 8-контактному, обеспечивая полное управление обоими кабелями через L-Connect 3.","36","7,876","1 год","10","G89.PW24PV2-1.00","Ссылка"
"22717      ","RGBMCA-U000R-CLS000","Светодиодная Универсальная RGB Подсветка для Корпуса CoolerMaster 4 pin RGB MCA-U000R-CLS000","6","8,279","1 год","100","RGBMCA-U000R-CLS000","Ссылка"
"Оптические привода CD-ROM, DVD-R-RW, BLURAY-R-RW","","","","","","","",""
"DVD-RW","","","","","","","",""
"17229      ","DRW-24D5MT/BLK/B/AS","ASUS DRW-24D5MT/BLK/B/AS DVR-ReWriter 24X DVD writing speed SATA Black                                                                                                                                                                                                                                                                                                                                                                                                                                              ",">50","6,936","1 год","20","","Ссылка"
"02_External DVD-RW","","","","","","","",""
"32293      ","SDRW-08D2S-U LITE/BLACK/ASUS","Внешний Оптический привод DVD-RW Asus SDRW-08D2S-U LITE/BLACK/ASUS USB Slim. USB2.0, DVD±R 8x, DVD+RW 8x, DVD-RW 6x, DVD±R DL 6x, DVD-RAM 5x, CD/R/RW 24/24/16                                                                           ","36","12,083","2 года","","","SDRW-08D2S-U LITE/BLACK/ASUS"
"32292      ","SDRW-08D2S-U LITE/WHITE/ASUS","Внешний Оптический привод DVD-RW Asus SDRW-08D2S-U LITE/WHITE/ASUS USB Slim. USB2.0, DVD±R 8x, DVD+RW 8x, DVD-RW 6x, DVD±R DL 6x, DVD-RAM 5x, CD/R/RW 24/24/16 White                                                                          ","16","12,083","2 года","","","SDRW-08D2S-U LITE/WHITE/ASUS"
"31406      ","SDRW-08U5S-U/PINK/G/AS","Внешний Оптический привод DVD-RW Asus SDRW-08U5S-U/PINK/G/AS USB 2.0 Розовый","10","17,005","1 год","5","","Ссылка"
"31409      ","SDRW-08U5S-U/SIL/G/AS","Внешний Оптический привод DVD-RW Asus SDRW-08U5S-U/SIL/G/AS USB Серебро","4","17,005","1 год","5","","Ссылка"
"29658      ","SDRW-08U8M-U/GOLD/G/AS/P2G","Внешний Оптический привод DVD-RW Asus SDRW-08U8M-U/GOLD/G/AS/P2G USB Золотистый",">50","14,991","1 год","5","","Ссылка"
"31420      ","SDRW-08U9M-U/SIL/G/AS","Внешний Оптический привод DVD-RW Asus ZenDrive U9M SDRW-08U9M-U/SIL/G/AS USB Серебро","2","16,558","1 год","5","","Ссылка"
"BLU-RAY","","","","","","","",""
"31419      ","SBW-06D2X-U/BLK/G/AS","Оптический привод Blu-Ray-RW Asus SBW-06D2X-U/BLK/G/AS Внешний Черный Поддержка M-Disc.                                                                                                              ","1","39,380","1 год","20","","Ссылка"
"Видеокарты","","","","","","","",""
"Аксессуары для видеокарт","","","","","","","",""
"30618      ","MCA-U000C-KPCI30-300","Райзер-кабель CoolerMaster (MCA-U000C-KPCI30-300) PCIE 3.0 X16 VER. 2, 300мм",">50","17,005","1 год","","MCA-U000C-KPCI30-300","Ссылка"
"31496      ","RISER CABLE PCI-E 3.0","Райзер-кабель PCCooler Vertical GPU Bracket Kit RISER CABLE PCI-E 3.0","15","8,279","1 год","","RISER CABLE PCI-E 3.01","Ссылка"
"Видеокарты ASRock","","","","","","","",""
"30045      ","RX6700XT CLD 12GO","Видеокарта AsRock RADEON RX 6700XT Challenger D 12GB OC, 12GB GDDR6 192bit 3xDP HDMI RX6700XT CLD 12GO","11","237,175","1 год","10","","Ссылка"
"30041      ","RX6700XT CLP 12GO","Видеокарта AsRock RADEON RX 6700XT Challenger Pro 12GB OC, 12GB GDDR6 192bit 3xDP HDMI RX6700XT CLP 12GO","4","246,125","1 год","10","","Ссылка"
"Видеокарты INNO3D","","","","","","","",""
"30916      ","N710-1SDV-D3BX","Видеокарта Inno3D GeForce GT 710, 1G DDR3 64bit VGA DVI HDMI N710-1SDV-D3BX","33","17,453","1 год","5","","N710-1SDV-D3BX"
"30915      ","N710-1SDV-E3BX","Видеокарта Inno3D GeForce GT 710, 2G DDR3 64bit VGA DVI HDMI N710-1SDV-E3BX","13","19,690","1 год","5","","N710-1SDV-E3BX"
"30914      ","N730-1SDV-D3BX","Видеокарта Inno3D GeForce GT 730, 1G DDR3 64bit VGA DVI HDMI N730-1SDV-D3BX","11","27,298","1 год","5","","N730-1SDV-D3BX"
"30913      ","N730-1SDV-E3BX","Видеокарта Inno3D GeForce GT 730, 2G DDR3 64bit VGA DVI HDMI N730-1SDV-E3BX","16","29,535","1 год","5","","N730-1SDV-E3BX"
"30911      ","N1030-1SDV-E5BL","Видеокарта Inno3D GeForce GT 1030 2GB GDDR5 LP, 2G GDDR5 64bit DVI HDMI N1030-1SDV-E5BL","17","36,248","1 год","5","","Ссылка"
"30909      ","N105T-1DDV-M5CM","Видеокарта Inno3D GeForce GTX1050 Ti TWIN X2, 4G GDDR5 128bit DVI HDMI DP N105T-1DDV-M5CM","2","78,313","1 год","5","","Ссылка"
"31509      ","N16301-04D6-1177VA19","Видеокарта Inno3D GeForce GTX1630 COMPACT, 4G GDDR6 64bit HDMI 2xDP N16301-04D6-1177VA19","41","71,600","1 год","5","","Ссылка"
"32082      ","N16502-04D6X-1720VA30","Видеокарта Inno3D GeForce GTX1650 GDDR6 TWIN X2 OC V2, 4G GDDR6 128-bit DVI HDMI DP N16502-04D6X-1720VA30",">50","71,600","1 год","5","","Ссылка"
"31506      ","N30602-08D6X-11902130","Видеокарта Inno3D GeForce RTX3060 8GB Twin X2 OC, 8G GDDR6 128bit HDMI 3xDP N30602-08D6X-11902130","6","161,100","1 год","5","","Ссылка"
"31507      ","N30602-08D6-11902130","Видеокарта Inno3D GeForce RTX3060 8GB Twin X2, 8G GDDR6 128bit HDMI 3xDP N30602-08D6-11902130","14","156,625","1 год","5","","Ссылка"
"30553      ","N306T2-08D6-119032DH","Видеокарта Inno3D GeForce RTX3060 Ti Twin X2 LHR, 8G GDDR6 256-bit HDMI 3xDP N306T2-08D6-119032DH","1","190,188","1 год","5","","Ссылка"
"30900      ","N306T2-08D6X-119032DH","Видеокарта Inno3D GeForce RTX3060 Ti Twin X2 OC LHR, 8G GDDR6 256bit HDMI 3xDP N306T2-08D6X-119032DH",">50","205,850","1 год","5","","Ссылка"
"30902      ","N30602-12D6X-11902120H","Видеокарта Inno3D GeForce RTX3060 Twin X2 OC, 12G GDDR6 192bit HDMI 3xDP N30602-12D6X-11902120H",">50","167,365","1 год","5","","Ссылка"
"30554      ","N30602-12D6-119032AH","Видеокарта Inno3D GeForce RTX3060 Twin X2, 12G GDDR6 192-bit HDMI 3xDP N30602-12D6-119032AH",">50","162,443","1 год","5","","Ссылка"
"32079      ","C30704-08D6X-1710VA35H","Видеокарта Inno3D GeForce RTX3070 ICHILL X4 LHR 8Gb GDDR6 256-bit HDMI 3xDP C30704-08D6X-1710VA35H","37","268,500","3 мес.  ","","","Ссылка"
"30549      ","N307T3-086XX-1820VA45","Видеокарта Inno3D GeForce RTX3070 Ti X3 OC, 8G GDDR6X 256-bit HDMI 3xDP N307T3-086XX-1820VA45","2","317,278","1 год","5","","Ссылка"
"31927      ","N307T3-086X-1810VA44","Видеокарта Inno3D GeForce RTX3070 Ti X3, 8G GDDR6X 256-bit HDMI 3xDP N307T3-086X-1810VA44","19","304,300","1 год","5","","Ссылка"
"30550      ","N307T3-086X-1820VA45","Видеокарта Inno3D GeForce RTX3070 Ti X3, 8G GDDR6X 256-bit HDMI 3xDP N307T3-086X-1820VA45","5","312,803","1 год","5","","Ссылка"
"31708      ","C407T3-126XX-186148H","Видеокарта Inno3D GeForce RTX4070 Ti ICHILL X3, 12G GDDR6X 192-bit HDMI 3xDP C407T3-126XX-186148H","10","438,550","1 год","5","","C407T3-126XX-186148H"
"32080      ","N407T3-126XX-186148N","Видеокарта Inno3D GeForce RTX4070 Ti X3 OC, 12G GDDR6X 192-bit HDMI 3xDP N407T3-126XX-186148N","9","413,938","1 год","5","","Ссылка"
"31500      ","C40803-166XX-187049H","Видеокарта Inno3D GeForce RTX4080 ICHILL X3, 16G GDDR6X 256-bit HDMI 3xDP C40803-166XX-187049H","5","639,925","1 год","5","","C40803-166XX-187049H"
"31504      ","N40803-166XX-187049N","Видеокарта Inno3D GeForce RTX4080 X3 OC, 16G GDDR6X 256-bit HDMI 3xDP N40803-166XX-187049N","15","595,175","1 год","5","","N40803-166XX-187049N"
"31505      ","N40803-166X-187049N","Видеокарта Inno3D GeForce RTX4080 X3, 16G GDDR6X 256-bit HDMI 3xDP N40803-166X-187049N","6","585,778","1 год","5","","N40803-166X-187049N"
"31499      ","C40903-246XX-1833VA47","Видеокарта Inno3D GeForce RTX4090 ICHILL X3, 24G GDDR6X 384-bit HDMI 3xDP C40903-246XX-1833VA47","4","844,880","1 год","5","","Ссылка"
"31503      ","N40903-246XX-18332989","Видеокарта Inno3D GeForce RTX4090 X3 OC, 24G GDDR6X 384-bit HDMI 3xDP N40903-246XX-18332989","4","818,925","1 год","5","","Ссылка"
"Видеокарты MSI","","","","","","","",""
"25177      ","RX 550 AERO ITX 4G OC","Видеокарта MSI Radeon RX 550, 4GB GDDR5 128-bit DVI HDMI DP RX 550 AERO ITX 4G OC",">50","50,568","3 года","10","","Ссылка"
"30223      ","RX 6500 XT MECH 2X 4G OC","Видеокарта MSI  RADEON RX 6500 XT MECH 2X, 4GB GDDR6 64-bit HDMI DP RX 6500 XT MECH 2X 4G OC","8","98,898","1 год","5","","Ссылка"
"27567      ","RX 6700 XT MECH 2X 12G OC","Видеокарта MSI  RADEON RX 6700XT MECH 2X OC, 12GB GDDR6 192-bit HDMI 3xDP RX 6700 XT MECH 2X 12G OC","1","239,413","3 года","5","","Ссылка"
"28577      ","RX 6900 XT GAMING Z TRIO 16G","Видеокарта MSI RADEON RX 6900XT GAMING Z TRIO 16G, 16GB GDDR6 256-bit 3xDP 1xHDMI ","10","369,188","3 года","10","","Ссылка"
"28436      ","N210-1GD3/LP","Видеокарта MSI GeForce 210, 1GB DDR3 64-bit 1xVGA 1xDVI 1xHDMI N210-1GD3/LP","24","19,690","3 года","30","","N210-1GD3/LP"
"22801      ","GT 710 2GD3H LP","Видеокарта MSI GeForce GT 710, 2GB DDR3 64-bit 1xVGA 1xDVI 1xHDMI GT 710 2GD3H LP","19","24,836","3 года","5","","Ссылка"
"28427      ","N730K-2GD3/OCV5","Видеокарта MSI GeForce GT 730, 2GB DDR3 64-bit 1xVGA 1xDVI 1xHDMI N730K-2GD3/OCV5","11","37,143","3 года","10","","Ссылка"
"27875      ","N730K-4GD3/OCV1","Видеокарта MSI GeForce GT 730, 4GB DDR3 64-bit 1xVGA 1xDVI 1xHDMI N730K-4GD3/OCV1",">50","42,513","3 года","30","","Ссылка"
"30968      ","GTX 1050 Ti 4GT LP","Видеокарта MSI GeForce GTX1050Ti, 4Gb GDDR5 128bit DVI-D HDMI DP, GTX 1050 Ti 4GT LP","1","82,788","3 года","10","","Ссылка"
"30966      ","GTX 1630 VENTUS XS 4G OC","Видеокарта MSI GeForce GTX1630, 4GB GDDR6 64bit DVI HDMI DP GTX 1630 VENTUS XS 4G OC","9","69,363","3 года","1","","Ссылка"
"28539      ","GTX 1650 VENTUS XS 4G OC","Видеокарта MSI GeForce GTX1650, 4GB GDDR5 128-bit 1xDVI 1xHDMI 1xDP GTX 1650 VENTUS XS 4G OC","7","82,788","3 года","1","","Ссылка"
"29303      ","GTX 1650 VENTUS XS 4G OCV1","Видеокарта MSI GeForce GTX1650, 4GB GDDR5 128-bit 1xDVI 1xHDMI 1xDP GTX 1650 VENTUS XS 4G OCV1","10","82,788","3 года","1","","Ссылка"
"25738      ","GTX 1650 D6 VENTUS XS OCV1","Видеокарта MSI GeForce GTX1650, 4GB GDDR6 128-bit 1xHDMI 2xDP GTX 1650 D6 VENTUS XS OCV1","47","80,550","3 года","1","","GTX 1650 D6 VENTUS XS OCV1"
"30547      ","GTX 1650 D6 VENTUS XS V1","Видеокарта MSI GeForce GTX1650, 4GB GDDR6 128-bit DVI HDMI DP GTX 1650 D6 VENTUS XS V1",">50","80,998","3 года","1","","Ссылка"
"27333      ","GTX 1660 SUPER VENTUS XS","Видеокарта MSI GeForce GTX1660 SUPER, 6GB GDDR6 192-bit HDMI 3xDP GTX 1660 SUPER VENTUS XS","3","134,250","3 года","1","","Ссылка"
"30219      ","RTX 3050 AERO ITX 8G OC","Видеокарта MSI GeForce RTX3050 AERO ITX 8G OC, 8G GDDR6 128-bit HDMI 3xDP RTX 3050 AERO ITX 8G OC","9","152,598","3 года","1","","Ссылка"
"30222      ","RTX 3050 GAMING X 8G","Видеокарта MSI GeForce RTX3050 GAMING X 8G, 8G GDDR6 128-bit HDMI 3xDP RTX 3050 GAMING X 8G","1","156,625","3 года","1","","Ссылка"
"31804      ","RTX 3060 GAMING 12G","Видеокарта MSI GeForce RTX3060 GAMING, 12G GDDR6 192-bit HDMI 3xDP RTX 3060 GAMING 12G","9","214,800","3 года","1","","Ссылка"
"27250      ","RTX 3060 GAMING X 12G","Видеокарта MSI GeForce RTX3060 GAMING, 12G GDDR6 192-bit HDMI 3xDP RTX 3060 GAMING X 12G","2","219,275","3 года","10","","Ссылка"
"30221      ","RTX 3060 VENTUS 2X 12G OC","Видеокарта MSI GeForce RTX3060 VENTUS 2X OC, 12G GDDR6 192-bit HDMI 3xDP RTX 3060 VENTUS 2X 12G OC","2","179,895","3 года","1","","Ссылка"
"31805      ","RTX 3060 Ti GAMING X TRIO 8GD6X","Видеокарта MSI GeForce RTX3060Ti GAMING X TRIO, 8G GDDR6X HDMI 3xDP RTX 3060 Ti GAMING X TRIO 8GD6X","2","255,075","1 год","1","","Ссылка"
"28339      ","RTX 3060 Ti VENTUS 3X 8G OC LHR","Видеокарта MSI GeForce RTX3060 Ti VENTUS 3X 8G OC, 8G GDDR6 256-bit HDMI 3xDP RTX 3060 Ti VENTUS 3X 8G OC LHR","9","237,175","3 года","1","","Ссылка"
"31807      ","RTX 3060 Ti VENTUS 3X 8GD6X OC","Видеокарта MSI GeForce RTX3060 Ti VENTUS 3X 8GD6X OC, 8G GDDR6X HDMI 3DP RTX 3060 Ti VENTUS 3X 8GD6X OC","9","241,650","3 года","1","","Ссылка"
"31806      ","RTX 3060 Ti VENTUS 2X 8GD6X OC","Видеокарта MSI GeForce RTX3060Ti VENTUS 2X 8GD6X OC, 8G GDDR6X HDMI 3xDP RTX 3060 Ti VENTUS 2X 8GD6X OC","2","229,120","1 год","1","","Ссылка"
"31433      ","RTX 4080 16GB VENTUS 3X OC","Видеокарта MSI GeForce RTX4080 16GB VENTUS 3X OC, 16G GDDR6X 256bit HDMI 3xDP RTX 4080 16GB VENTUS 3X OC","8","596,518","3 года","1","","Ссылка"
"31639      ","RTX 4080 16GB VENTUS 3X","Видеокарта MSI GeForce RTX4080 16GB VENTUS 3X, 16G GDDR6X HDMI 3xDP RTX 4080 16GB VENTUS 3X","3","590,700","3 года","1","","Ссылка"
"31632      ","RTX 4090 VENTUS 3X 24G OC","Видеокарта MSI GeForce RTX4090 VENTUS 3X OC, 24G GDDR6X 384bit HDMI 3xDP RTX 4090 VENTUS 3X 24G OC","11","850,250","3 года","1","","Ссылка"
"Видеокарты PowerColor","","","","","","","",""
"27801      ","AXRX 6900XT 16GBD6-3DHE/OC","Видеокарта PowerColor Radeon RX 6900 XT OC, 16GB GDDR6 256bit HDMI 3xDP AXRX 6900XT 16GBD6-3DHE/OC","1","376,348","1 год","1","","Ссылка"
"Видеокарты Asus","","","","","","","",""
"31671      ","PH-550-2G","Видеокарта ASUS AMD Radeon 550 2GB GDDR5 64-bit DVI HDMI DP HDCP PH-550-2G","7","47,869","3 года","10","","Ссылка"
"31700      ","ROG-STRIX-RX560-4G-V2-GAMING","Видеокарта ASUS AMD Radeon RX 560 4GB GDDR5 128-bit HDMI DVI HDCP ROG-STRIX-RX560-4G-V2-GAMING","4","75,932","3 года","10","","Ссылка"
"31682      ","DUAL-RX560-4G","Видеокарта ASUS AMD Radeon RX 560 GB GDDR5 128-bit HDMI 2xDP HDCP DUAL-RX560-4G","10","68,244","3 года","10","","Ссылка"
"31907      ","TUF-RX7900XT-O20G-GAMING","Видеокарта ASUS AMD Radeon RX 7900 XT OC 20GB GDDR6 256-bit HDMI 3xDP HDCP TUF-RX7900XT-O20G-GAMING","4","496,725","3 года","10","","Ссылка"
"27359      ","PH-RX550-4G-EVO","Видеокарта ASUS AMD Radeon RX550 4Gb 128bit GDDR5 DVI HDMI DP РH-RX550-4G-EVO","6","57,222","3 года","10","","Ссылка"
"18982      ","GT730-SL-2GD5-BRK","Видеокарта ASUS GeForce GT730 2Gb 64bit GDDR5 902/1605 VGA DVI HDMI HDCP PCI-E GT730-SL-2GD5-BRK",">50","39,604","3 года","20","","Ссылка"
"29268      ","GT730-4H-SL-2GD5","Видеокарта ASUS GeForce GT730 2GB GDDR5 64-bit 4xHDMI GT730-4H-SL-2GD5",">50","42,513","Сц 3 года","10","","Ссылка"
"20890      ","GT1030-2G-BRK","Видеокарта ASUS GeForce GT1030 2GB 64bit GDDR5 6008MHz 1xHDMI 1xDP HDCP GT1030-2G-BRK                                                                                                                                                                                                                                                                                                                                                                                                                               ","40","41,841","3 года","1","","Ссылка"
"18218      ","PH-GT1030-O2G","Видеокарта ASUS GeForce GT1030 Phoenix Fan OC Edition 2GB 6004Mhz 64 bit 1920x1200 DVIx1 HDMIx1 DDR5 PH-GT1030-O2G","2","44,303","3 года","10","","Ссылка"
"31488      ","PH-GTX1630-4G","Видеокарта ASUS GeForce GTX1630 4Gb GDDR6 64bit DVI HDMI DP HDCP PH-GTX1630-4G","36","80,550","3 года","10","","Ссылка"
"27357      ","PH-GTX1650-O4GD6","Видеокарта ASUS GeForce GTX1650 4Gb GDDR6 128bit DVI HDMI DP HDCP PH-GTX1650-O4GD6",">50","86,815","Сц 3 года","10","","Ссылка"
"31905      ","PH-GTX1650-O4GD6-P-EVO","Видеокарта ASUS GeForce GTX1650 4Gb GDDR6 128bit DVI HDMI DP HDCP PH-GTX1650-O4GD6-P-EVO","20","86,368","3 года","10","","Ссылка"
"31673      ","PH-GTX1650-O4GD6-P-V2","Видеокарта ASUS GeForce GTX1650 4Gb GDDR6 128bit DVI HDMI DP HDCP PH-GTX1650-O4GD6-P-V2",">50","86,368","3 года","10","","Ссылка"
"31751      ","DUAL-GTX1650-O4GD6-P-V2","Видеокарта ASUS GeForce GTX1650 OC 4Gb GDDR6 128bit DVI HDMI DP HDCP DUAL-GTX1650-O4GD6-P-V2",">50","91,738","3 года","10","","Ссылка"
"31908      ","TUF-GTX1650-O4GD6-P-V2-GAMING","Видеокарта ASUS GeForce GTX1650 OC 4Gb GDDR6 128bit DVI HDMI DP HDCP TUF-GTX1650-O4GD6-P-V2-GAMING","39","93,080","Сц 3 года","10","","Ссылка"
"30669      ","PH-RTX3050-8G","Видеокарта ASUS GeForce RTX3050 8Gb GDDR6 128-bit 1xHDMI 3xDP HDCP PH-RTX3050-8G",">50","143,200","3 года","10","","Ссылка"
"30027      ","DUAL-RTX3050-O8G","Видеокарта ASUS GeForce RTX3050 OC GDDR6 8GB 128-bit HDMI 3xDP DUAL-RTX3050-O8G","19","147,451","3 года","10","","Ссылка"
"30680      ","TUF-RTX3060-12G-V2-GAMING","Видеокарта ASUS GeForce RTX3060 12GB GDDR6 192-bit 2xHDMI 3xDP TUF-RTX3060-12G-V2-GAMING","10","200,928","Сц 3 года","10","","Ссылка"
"29619      ","PH-RTX3060-12G-V2","Видеокарта ASUS GeForce RTX3060 12Gb GDDR6 192bit HDMI 3xDP HDCP PH-RTX3060-12G-V2",">50","177,210","Сц 3 года","10","","Ссылка"
"30642      ","TUF-RTX3060-O12G-V2-GAMING","Видеокарта ASUS GeForce RTX3060 OC 12GB GDDR6 192-bit 2xHDMI 3xDP TUF-RTX3060-O12G-V2-GAMING","28","197,795","Сц 3 года","10","","Ссылка"
"31680      ","DUAL-RTX3060-O8G","Видеокарта ASUS GeForce RTX3060 OC 8GB GDDR6 128-bit HDMI 3xDP HDCP DUAL-RTX3060-O8G","20","167,813","3 года","10","","Ссылка"
"30025      ","DUAL-RTX3060-O12G-V2","Видеокарта ASUS GeForce RTX3060 OC GDDR6 12GB 192-bit HDMI 3xDP HDCP DUAL-RTX3060-O12G-V2",">50","182,133","3 года","10","","Ссылка"
"31911      ","DUAL-RTX3060TI-O8GD6X-WHITE","Видеокарта ASUS GeForce RTX3060 Ti OC, GDDR6 8GB 256-bit 1xHDMI 3xDP DUAL-RTX3060TI-O8GD6X-WHITE","31","241,203","Сц 3 года","10","","DUAL-RTX3060TI-O8GD6X-WHITE"
"31910      ","DUAL-RTX3060TI-O8GD6X","Видеокарта ASUS GeForce RTX3060 Ti OC, GDDR6 8GB 256-bit 2xHDMI 3xDP DUAL-RTX3060TI-O8GD6X","21","236,638","Сц 3 года","10","","DUAL-RTX3060TI-O8GD6X"
"31701      ","TUF-RTX3060TI-O8GD6X-GAMING","Видеокарта ASUS GeForce RTX3060 Ti OC, GDDR6 8GB 256-bit 2xHDMI 3xDP TUF-RTX3060TI-O8GD6X-GAMING","10","259,998","Сц 3 года","10","","Ссылка"
"29267      ","DUAL-RTX3070-O8G-V2","Видеокарта ASUS GeForce RTX3070 OC GDDR6 8GB 256-bit 2xHDMI 3xDP DUAL-RTX3070-O8G-V2","10","302,063","3 года","10","","Ссылка"
"31163      ","TUF-RTX3070-O8G-V2-GAMING","Видеокарта ASUS GeForce RTX3070 OC GDDR6 8GB 256-bit 2xHDMI 3xDP TUF-RTX3070-O8G-V2-GAMING","38","317,725","3 года","10","","Ссылка"
"31904      ","ROG-STRIX-RTX4070TI-12G-GAMING","Видеокарта ASUS GeForce RTX4070Ti GDDR6X 12GB 192-bit 2xHDMI 3xDP ROG-STRIX-RTX4070TI-12G-GAMING","3","483,300","Сц 3 года","10","","ROG-STRIX-RTX4070TI-12G-GAMING"
"32001      ","ROG-STRIX-RTX4090-24G-GAMING","Видеокарта ASUS GeForce RTX4090 GDDR6X 24GB 384-bit 2xHDMI 3xDP ROG-STRIX-RTX4090-24G-GAMING","4","975,550","3 года","10","","Ссылка"
"31906      ","ROG-STRIX-RTX4090-O24G-GAMING","Видеокарта ASUS GeForce RTX4090 OC GDDR6X 24GB 384-bit 2xHDMI 3xDP ROG-STRIX-RTX4090-O24G-GAMING","6","980,025","3 года","10","","Ссылка"
"32000      ","TUF-RTX4090-O24G-GAMING","Видеокарта ASUS GeForce RTX4090 OC GDDR6X 24GB 384-bit 2xHDMI 3xDP TUF-RTX4090-O24G-GAMING","2","912,900","3 года","10","","Ссылка"
